district,state,year,quarter,registered_users,app_openings
north and middle andaman district,andaman-&-nicobar-islands,2022,1,10720,904869
south andaman district,andaman-&-nicobar-islands,2022,1,63487,2368756
nicobars district,andaman-&-nicobar-islands,2022,1,2081,573782
north and middle andaman district,andaman-&-nicobar-islands,2022,2,11379,963824
south andaman district,andaman-&-nicobar-islands,2022,2,66959,3404740
nicobars district,andaman-&-nicobar-islands,2022,2,2192,811449
north and middle andaman district,andaman-&-nicobar-islands,2022,3,11897,1176567
south andaman district,andaman-&-nicobar-islands,2022,3,70445,3607286
nicobars district,andaman-&-nicobar-islands,2022,3,2300,1284501
north and middle andaman district,andaman-&-nicobar-islands,2022,4,12361,313502
south andaman district,andaman-&-nicobar-islands,2022,4,73692,3881359
nicobars district,andaman-&-nicobar-islands,2022,4,2389,159232
north and middle andaman district,andaman-&-nicobar-islands,2023,1,12941,3103047
south andaman district,andaman-&-nicobar-islands,2023,1,77052,5450795
nicobars district,andaman-&-nicobar-islands,2023,1,2491,2458822
north and middle andaman district,andaman-&-nicobar-islands,2023,2,13600,3174229
south andaman district,andaman-&-nicobar-islands,2023,2,80112,6884657
nicobars district,andaman-&-nicobar-islands,2023,2,2617,4679790
north and middle andaman district,andaman-&-nicobar-islands,2019,1,2013,0
south andaman district,andaman-&-nicobar-islands,2019,1,15961,0
nicobars district,andaman-&-nicobar-islands,2019,1,622,0
north and middle andaman district,andaman-&-nicobar-islands,2019,2,2417,6118
south andaman district,andaman-&-nicobar-islands,2019,2,18621,43569
nicobars district,andaman-&-nicobar-islands,2019,2,693,2953
north and middle andaman district,andaman-&-nicobar-islands,2019,3,2662,22064
south andaman district,andaman-&-nicobar-islands,2019,3,20518,138190
nicobars district,andaman-&-nicobar-islands,2019,3,751,10853
north and middle andaman district,andaman-&-nicobar-islands,2019,4,2955,26253
south andaman district,andaman-&-nicobar-islands,2019,4,22202,139646
nicobars district,andaman-&-nicobar-islands,2019,4,803,11113
north and middle andaman district,andaman-&-nicobar-islands,2021,1,7833,121680
south andaman district,andaman-&-nicobar-islands,2021,1,48352,837589
nicobars district,andaman-&-nicobar-islands,2021,1,1573,45067
north and middle andaman district,andaman-&-nicobar-islands,2021,2,8493,596182
south andaman district,andaman-&-nicobar-islands,2021,2,51903,1270226
nicobars district,andaman-&-nicobar-islands,2021,2,1699,381815
north and middle andaman district,andaman-&-nicobar-islands,2021,3,9263,759314
south andaman district,andaman-&-nicobar-islands,2021,3,55873,1771107
nicobars district,andaman-&-nicobar-islands,2021,3,1846,591204
north and middle andaman district,andaman-&-nicobar-islands,2021,4,10002,171921
south andaman district,andaman-&-nicobar-islands,2021,4,59807,1863037
nicobars district,andaman-&-nicobar-islands,2021,4,1971,77952
north and middle andaman district,andaman-&-nicobar-islands,2020,1,3315,30444
south andaman district,andaman-&-nicobar-islands,2020,1,24174,151529
nicobars district,andaman-&-nicobar-islands,2020,1,879,11613
north and middle andaman district,andaman-&-nicobar-islands,2020,2,4100,56992
south andaman district,andaman-&-nicobar-islands,2020,2,27626,231071
nicobars district,andaman-&-nicobar-islands,2020,2,984,17009
north and middle andaman district,andaman-&-nicobar-islands,2020,3,5355,76553
south andaman district,andaman-&-nicobar-islands,2020,3,34833,417785
nicobars district,andaman-&-nicobar-islands,2020,3,1147,21227
north and middle andaman district,andaman-&-nicobar-islands,2020,4,7076,125915
south andaman district,andaman-&-nicobar-islands,2020,4,43908,725321
nicobars district,andaman-&-nicobar-islands,2020,4,1412,35972
north and middle andaman district,andaman-&-nicobar-islands,2018,1,632,0
south andaman district,andaman-&-nicobar-islands,2018,1,5846,0
nicobars district,andaman-&-nicobar-islands,2018,1,262,0
north and middle andaman district,andaman-&-nicobar-islands,2018,2,911,0
south andaman district,andaman-&-nicobar-islands,2018,2,8143,0
nicobars district,andaman-&-nicobar-islands,2018,2,351,0
